HiSeq_ID,PIT_Floy_tag,Alias,Species,MU,Wild_Hatchery,Inc1_Exc0,Date,River,RM,Length,Weight,Sex,Lat,Long,NH_Pal,NH_Hyb,NH_SVS
RSS_002,,,SVS,CLMU,w,1,5/7/19,Missouri,310,,,,,,0,0.00057,0.999
RSS_005,225,,SVS,CLMU,w,1,5/17/19,Missouri,311,610,1020,F,,,0,0.00104,0.999
RSS_006,223,,SVS,CLMU,w,1,5/17/19,Missouri,311,658,1290,F,,,0,0.00084,0.999
RSS_007,243,,SVS,CLMU,w,1,5/24/19,Missouri,311,602,895,F,,,0,0.00121,0.999
RSS_008,211,,SVS,CLMU,w,1,5/17/19,Missouri,326,662,1145,F,,,0,0.13539,0.865
RSS_010,208,,SVS,CLMU,w,1,5/17/19,Missouri,326,573,795,F,,,0,0.00062,0.999
RSS_011,248,,SVS,CLMU,w,1,5/24/19,Missouri,311,623,1095,F,,,0,0.02183,0.978
RSS_013,244,,SVS,CLMU,w,1,5/24/19,Missouri,311,646,1175,F,,,0,0.00088,0.999
RSS_014,,,SVS,CLMU,w,1,5/1/19,Missouri,311,,,,,,0,0.0007,0.999
RSS_015,207,,SVS,CLMU,w,1,5/24/19,Missouri,326,581,725,F,,,0,0.00262,0.997
RSS_017,206,,SVS,CLMU,w,1,4/25/19,Missouri,326,598,825,F,,,0,0.01133,0.989
RSS_018,213,,SVS,CLMU,w,1,4/25/19,Missouri,326,614,845,M,,,0,0.00042,1
RSS_019,216,,SVS,CLMU,w,1,5/20/19,Missouri,326,654,940,M,,,0,0.00037,1
RSS_020,,,SVS,CLMU,w,1,5/7/19,Missouri,311,,,,,,0,0.00042,1
RSS_022,250,,SVS,CLMU,w,1,5/7/19,Missouri,311,673,1120,F,,,0,0.00111,0.999
RSS_023,210,,SVS,CLMU,w,1,4/25/19,Missouri,326,684,1250,M,,,0,0.00054,0.999
RSS_024,247,,SVS,CLMU,w,1,5/21/19,Missouri,311,625,940,M,,,0,0.1444,0.856
RSS_025,212,,SVS,CLMU,w,1,4/25/19,Missouri,326,612,1065,F,,,0,0.02702,0.973
RSS_026,205,,SVS,CLMU,w,1,5/20/19,Missouri,326,691,1245,M,,,0,0.00046,1
RSS_027,,,SVS,CLMU,w,1,5/7/19,Missouri,310,,,,,,0,0.00069,0.999
RSS_028,,,SVS,CLMU,w,1,5/7/19,Missouri,311,,,,,,0,0.01038,0.99
RSS_029,215,,SVS,CLMU,w,1,5/20/19,Missouri,326,699,1395,M,,,0,0.00059,0.999
RSS_030,224,,SVS,CLMU,w,1,5/7/19,Missouri,311,657,1355,F,,,0,0.00047,1
RSS_031,,,SVS,GPMU,w,0,5/4/19,Yellowstone,7.9,740,,,47.87657,-103.96102,0,0.001,0.999
RSS_032,,,SVS,GPMU,w,1,5/4/19,Yellowstone,7.9,640,,,47.87657,-103.96102,0,0.001,0.999
RSS_033,,,SVS,GPMU,w,1,5/4/19,Yellowstone,7.9,892,,,47.87657,-103.96102,0,0,1
RSS_034,,,SVS,GPMU,w,1,5/4/19,Yellowstone,7.9,717,,,47.87657,-103.96102,0,0.001,0.999
RSS_035,,,SVS,GPMU,w,1,5/4/19,Yellowstone,7.9,741,,,47.87657,-103.96102,0,0.001,0.999
RSS_037,,,SVS,GPMU,w,1,6/9/19,Yellowstone,3.9,780,,,47.93297,-103.96683,0,0.014,0.986
RSS_038,,,SVS,GPMU,w,1,7/12/19,Yellowstone,62,860,1750,,47.37186,-104.39828,0,0.005,0.995
RSS_039,,,SVS,GPMU,w,1,5/7/19,Yellowstone,2.1,928,,,47.95536,-103.9632,0,0.002,0.998
RSS_040,,,SVS,GPMU,w,1,6/14/19,Yellowstone,7.1,760,,,47.88811,-103.9587,0,0,1
RSS_041,,,SVS,GPMU,w,1,5/8/19,Missouri,1552.1,624,,,48.11217,-103.70777,,,
RSS_042,,,SVS,GPMU,w,1,6/6/19,Yellowstone,50,832,2810,,47.47076,-104.27972,0,0,1
RSS_043,,,SVS,GPMU,w,1,6/14/19,Yellowstone,7.1,680,,,47.88811,-103.9587,0,0.003,0.997
RSS_044,,,SVS,GPMU,w,1,6/14/19,Yellowstone,7,770,,,47.89015,-103.95919,0,0.001,0.999
RSS_045,,,SVS,GPMU,w,1,6/7/19,Yellowstone,3.2,875,,,47.93977,-103.96249,0,0.002,0.998
RSS_046,8459,,SVS,GPMU,w,1,7/9/19,Yellowstone ,181,,,,,,0,0.003,0.997
RSS_047,,,SVS,GPMU,w,1,7/9/19,Yellowstone ,181,,,,,,0,0.011,0.989
RSS_048,8447,,SVS,GPMU,w,1,7/9/19,Yellowstone ,181,,,,,,0,0,1
RSS_050,8466,,SVS,GPMU,w,1,7/9/19,Yellowstone ,181,,,,,,0,0.005,0.995
RSS_051,8407,,SVS,GPMU,w,1,7/9/19,Yellowstone ,181,,,,,,0,0.001,0.999
RSS_052,8473,,SVS,GPMU,w,1,7/9/19,Yellowstone ,181,,,,,,0,0.011,0.989
RSS_053,8933,,SVS,GPMU,w,1,7/9/19,Yellowstone ,181,,,,,,0,0,1
RSS_054,8585,,SVS,GPMU,w,1,7/9/19,Yellowstone ,181,,,,,,0,0.003,0.997
RSS_055,8455,,SVS,GPMU,w,1,7/9/19,Yellowstone ,181,,,,,,0,0,1
RSS_061,,,SVS,GPMU,w,1,8/29/19,Missouri ,1661.5,570,,,48.08678,-105.00109,0,0.001,0.999
RSS_062,,,SVS,GPMU,w,1,8/29/19,Missouri ,1661.5,693,,,48.08416,-104.99532,0,0.007,0.993
RSS_063,,,SVS,GPMU,w,1,8/29/19,Missouri ,1664,626,,,48.05824,-105.04082,0,0.001,0.999
RSS_064,,,SVS,GPMU,w,1,8/29/19,Missouri ,1661.5,545,,,48.08677,-105.0011,0,0.004,0.996
RSS_065,,,SVS,GPMU,w,1,8/29/19,Missouri ,1664,600,,,48.05824,-105.04082,0,0.002,0.998
RSS_066,,,SVS,GPMU,w,1,8/29/19,Missouri ,1664,676,,,48.05824,-105.04082,0,0.001,0.999
